,p,t,k,q,c,P,T,K,Q,C,b,d,g,G,z
p,107.0/679.77 = 0.1574,327.0/790.50 = 0.4137,302.0/890.04 = 0.3393,48.0/210.86 = 0.2276,47.0/248.21 = 0.1894,14.0/42.50 = 0.3294,62.0/41.71 = 1.4865,3.0/73.00 = 0.0411,184.0/72.45 = 2.5398,24.0/22.19 = 1.0817,0.0/20.80 = 0.0000,1.0/107.85 = 0.0093,1.0/46.59 = 0.0215,124.0/46.17 = 2.6855,1.0/55.07 = 0.0182
t,470.0/983.29 = 0.4780,404.0/1143.46 = 0.3533,1895.0/1287.45 = 1.4719,203.0/305.02 = 0.6655,77.0/359.04 = 0.2145,20.0/61.48 = 0.3253,139.0/60.33 = 2.3039,101.0/105.59 = 0.9565,32.0/104.79 = 0.3054,10.0/32.09 = 0.3116,41.0/30.09 = 1.3625,4.0/156.01 = 0.0256,62.0/67.39 = 0.9200,7.0/66.79 = 0.1048,22.0/79.66 = 0.2762
k,864.0/934.28 = 0.9248,759.0/1086.46 = 0.6986,261.0/1223.28 = 0.2134,20.0/289.81 = 0.0690,339.0/341.14 = 0.9937,10.0/58.42 = 0.1712,16.0/57.32 = 0.2791,6.0/100.33 = 0.0598,1.0/99.57 = 0.0100,8.0/30.49 = 0.2623,33.0/28.59 = 1.1542,51.0/148.24 = 0.3440,0.0/64.03 = 0.0000,0.0/63.46 = 0.0000,52.0/75.69 = 0.6870
q,46.0/157.61 = 0.2919,331.0/183.28 = 1.8059,0.0/206.36 = 0.0000,33.0/48.89 = 0.6750,223.0/57.55 = 3.8749,31.0/9.86 = 3.1456,67.0/9.67 = 6.9282,0.0/16.93 = 0.0000,0.0/16.80 = 0.0000,1.0/5.14 = 0.1944,107.0/4.82 = 22.1843,65.0/25.01 = 2.5993,0.0/10.80 = 0.0000,0.0/10.71 = 0.0000,81.0/12.77 = 6.3438
c,189.0/215.30 = 0.8778,12.0/250.37 = 0.0479,154.0/281.90 = 0.5463,17.0/66.79 = 0.2545,211.0/78.61 = 2.6840,17.0/13.46 = 1.2628,0.0/13.21 = 0.0000,14.0/23.12 = 0.6055,35.0/22.95 = 1.5254,0.0/7.03 = 0.0000,16.0/6.59 = 2.4284,0.0/34.16 = 0.0000,128.0/14.76 = 8.6744,46.0/14.62 = 3.1454,0.0/17.44 = 0.0000
P,0.0/15.74 = 0.0000,0.0/18.30 = 0.0000,0.0/20.61 = 0.0000,0.0/4.88 = 0.0000,0.0/5.75 = 0.0000,1.0/0.98 = 1.0161,0.0/0.97 = 0.0000,1.0/1.69 = 0.5916,1.0/1.68 = 0.5961,0.0/0.51 = 0.0000,0.0/0.48 = 0.0000,0.0/2.50 = 0.0000,14.0/1.08 = 12.9778,13.0/1.07 = 12.1592,29.0/1.28 = 22.7428
T,4.0/41.60 = 0.0962,4.0/48.37 = 0.0827,138.0/54.47 = 2.5337,0.0/12.90 = 0.0000,0.0/15.19 = 0.0000,5.0/2.60 = 1.9223,32.0/2.55 = 12.5374,50.0/4.47 = 11.1927,0.0/4.43 = 0.0000,0.0/1.36 = 0.0000,0.0/1.27 = 0.0000,0.0/6.60 = 0.0000,11.0/2.85 = 3.8583,0.0/2.83 = 0.0000,2.0/3.37 = 0.5935
K,0.0/28.56 = 0.0000,0.0/33.22 = 0.0000,2.0/37.40 = 0.0535,0.0/8.86 = 0.0000,0.0/10.43 = 0.0000,19.0/1.79 = 10.6380,92.0/1.75 = 52.4934,4.0/3.07 = 1.3040,0.0/3.04 = 0.0000,0.0/0.93 = 0.0000,0.0/0.87 = 0.0000,11.0/4.53 = 2.4272,0.0/1.96 = 0.0000,0.0/1.94 = 0.0000,51.0/2.31 = 22.0396
Q,0.0/46.17 = 0.0000,0.0/53.69 = 0.0000,0.0/60.45 = 0.0000,0.0/14.32 = 0.0000,0.0/16.86 = 0.0000,330.0/2.89 = 114.3181,0.0/2.83 = 0.0000,0.0/4.96 = 0.0000,0.0/4.92 = 0.0000,46.0/1.51 = 30.5281,0.0/1.41 = 0.0000,328.0/7.32 = 44.7791,0.0/3.16 = 0.0000,0.0/3.14 = 0.0000,0.0/3.74 = 0.0000
C,0.0/13.28 = 0.0000,0.0/15.44 = 0.0000,0.0/17.39 = 0.0000,0.0/4.12 = 0.0000,0.0/4.85 = 0.0000,31.0/0.83 = 37.3307,0.0/0.81 = 0.0000,0.0/1.43 = 0.0000,2.0/1.42 = 1.4131,15.0/0.43 = 34.6048,0.0/0.41 = 0.0000,0.0/2.11 = 0.0000,0.0/0.91 = 0.0000,0.0/0.90 = 0.0000,0.0/1.08 = 0.0000
b,0.0/8.68 = 0.0000,0.0/10.09 = 0.0000,0.0/11.36 = 0.0000,0.0/2.69 = 0.0000,0.0/3.17 = 0.0000,0.0/0.54 = 0.0000,0.0/0.53 = 0.0000,0.0/0.93 = 0.0000,0.0/0.92 = 0.0000,0.0/0.28 = 0.0000,0.0/0.27 = 0.0000,0.0/1.38 = 0.0000,0.0/0.59 = 0.0000,0.0/0.59 = 0.0000,0.0/0.70 = 0.0000
d,419.0/85.69 = 4.8896,62.0/99.65 = 0.6222,151.0/112.20 = 1.3458,66.0/26.58 = 2.4829,0.0/31.29 = 0.0000,12.0/5.36 = 2.2396,0.0/5.26 = 0.0000,3.0/9.20 = 0.3260,8.0/9.13 = 0.8760,1.0/2.80 = 0.3575,0.0/2.62 = 0.0000,0.0/13.60 = 0.0000,0.0/5.87 = 0.0000,0.0/5.82 = 0.0000,1.0/6.94 = 0.1440
g,0.0/31.44 = 0.0000,0.0/36.57 = 0.0000,0.0/41.17 = 0.0000,0.0/9.75 = 0.0000,0.0/11.48 = 0.0000,0.0/1.97 = 0.0000,0.0/1.93 = 0.0000,0.0/3.38 = 0.0000,0.0/3.35 = 0.0000,0.0/1.03 = 0.0000,0.0/0.96 = 0.0000,0.0/4.99 = 0.0000,0.0/2.16 = 0.0000,0.0/2.14 = 0.0000,0.0/2.55 = 0.0000
G,0.0/28.14 = 0.0000,0.0/32.73 = 0.0000,0.0/36.85 = 0.0000,0.0/8.73 = 0.0000,0.0/10.28 = 0.0000,0.0/1.76 = 0.0000,0.0/1.73 = 0.0000,0.0/3.02 = 0.0000,0.0/3.00 = 0.0000,0.0/0.92 = 0.0000,0.0/0.86 = 0.0000,0.0/4.47 = 0.0000,0.0/1.93 = 0.0000,0.0/1.91 = 0.0000,0.0/2.28 = 0.0000
z,0.0/18.37 = 0.0000,0.0/21.37 = 0.0000,0.0/24.06 = 0.0000,0.0/5.70 = 0.0000,0.0/6.71 = 0.0000,21.0/1.15 = 18.2774,0.0/1.13 = 0.0000,0.0/1.97 = 0.0000,0.0/1.96 = 0.0000,0.0/0.60 = 0.0000,0.0/0.56 = 0.0000,0.0/2.92 = 0.0000,0.0/1.26 = 0.0000,0.0/1.25 = 0.0000,0.0/1.49 = 0.0000
